,alternative_names,reference_mass_ratio,reference_dimensionless_spin1,reference_dimensionless_spin2,remnant_mass,keyword1,keyword2,keyword3,reference_dimensionless_spin1_1,reference_dimensionless_spin1_2,reference_dimensionless_spin1_3,reference_dimensionless_spin2_1,reference_dimensionless_spin2_2,reference_dimensionless_spin2_3,precessing,notspinning,s1,s2,eta
1010,"['PRIVATE:BBH:1090', 'SXS:BBH:1023']",1.224622612773482,"[-0.5905824440649999, -0.0236085294801, 0.355174910317]","[0.2137885004, -0.634823895645, -0.365576848006]",0.949742733618,,,,-0.5905824440649999,-0.0236085294801,0.355174910317,0.2137885004,-0.634823895645,-0.365576848006,1,0,0.6895608768054424,0.7631207854482648,0.2474512087764958
1011,"['PRIVATE:BBH:1091', 'SXS:BBH:1024']",1.794803205872678,"[-0.301271892607, 0.391186364074, 0.488459499773]","[0.251399099142, -0.656686092154, -0.135242933071]",0.9460595896139999,,,,-0.301271892607,0.391186364074,0.488459499773,0.251399099142,-0.656686092154,-0.135242933071,1,0,0.6945388453001957,0.7160508233523287,0.22978113541813558
1012,"['PRIVATE:BBH:1092', 'SXS:BBH:1025']",1.3717087118285,"[0.047863713440200004, -0.551857694522, -0.34317757676599997]","[0.6740849715239999, -0.302757471773, -0.264010588613]",0.9588175196659999,,,,0.047863713440200004,-0.551857694522,-0.34317757676599997,0.6740849715239999,-0.302757471773,-0.264010588613,1,0,0.6516200574432975,0.7847000869432049,0.24385923057456155
1013,"['PRIVATE:BBH:1093', 'SXS:BBH:1026']",1.773738843706146,"[0.43776019661, 0.0736895088796, -0.516346215413]","[0.477459661374, 0.293362017916, 0.517643824687]",0.962344013051,,,,0.43776019661,0.0736895088796,-0.516346215413,0.477459661374,0.293362017916,0.517643824687,1,0,0.6809387253096058,0.7628788442680186,0.2305465034634723
1014,"['PRIVATE:BBH:1094', 'SXS:BBH:1027']",1.124522247461918,"[0.158642752314, -0.34994713025699997, 0.572223074265]","[0.17519035339, -0.691048475055, 0.150584350242]",0.933963241975,,,,0.158642752314,-0.34994713025699997,0.572223074265,0.17519035339,-0.691048475055,0.150584350242,1,0,0.6892530475508676,0.7286393492905522,0.24914116181952076
1015,"['PRIVATE:BBH:1095', 'SXS:BBH:1028']",1.01128620251034,"[0.318454734476, -0.29478646115199997, 0.43272798653399996]","[0.553704473137, 0.242446443407, 0.331795421476]",0.9374265594319999,,,,0.318454734476,-0.29478646115199997,0.43272798653399996,0.553704473137,0.242446443407,0.331795421476,1,0,0.6128343870234999,0.6895339898837931,0.24999212794830775
1016,"['PRIVATE:BBH:1096', 'SXS:BBH:1029']",1.266025072982584,"[-0.504371991634, 0.19347898133299998, -0.39313133054599997]","[-0.24804499057999999, 0.585475166794, 0.273622593954]",0.9533082924899999,,,,-0.504371991634,0.19347898133299998,-0.39313133054599997,-0.24804499057999999,0.585475166794,0.273622593954,1,0,0.6681148593014314,0.6922259834811244,0.24655447243378742
1017,"['PRIVATE:BBH:1097', 'SXS:BBH:1030']",1.106960106552511,"[-0.261844637097, -0.5996411109, 0.0872636578952]","[0.360583577004, 0.46050176538, 0.523649223184]",0.942519819862,,,,-0.261844637097,-0.5996411109,0.0872636578952,0.360583577004,0.46050176538,0.523649223184,1,0,0.6601113707906389,0.7850419739506308,0.24935572535982467
1018,"['PRIVATE:BBH:1098', 'SXS:BBH:1031']",1.147649498912987,"[-0.29284992236699997, -0.336216634912, 0.522012589656]","[-0.620108129132, 0.252807962553, 0.325778189945]",0.933214517031,,,,-0.29284992236699997,-0.336216634912,0.522012589656,-0.620108129132,0.252807962553,0.325778189945,1,0,0.6865128158900389,0.7446995278564562,0.2488183818493328
1019,"['PRIVATE:BBH:1099', 'SXS:BBH:1032']",1.4307575621482571,"[0.324974013522, 0.44360789925099997, 0.523855508491]","[-0.30360122604399997, 0.445439201933, 0.297451554941]",0.9362708178829999,,,,0.324974013522,0.44360789925099997,0.523855508491,-0.30360122604399997,0.445439201933,0.297451554941,1,0,0.7594871108312811,0.6156843465696904,0.24214904408908441
1020,"['PRIVATE:BBH:1100', 'SXS:BBH:1033']",1.151883831971448,"[0.18273550985599998, -0.758514977825, -0.158306647295]","[0.0310344778734, -0.6826153328319999, -0.383399071923]",0.95553170521,,,,0.18273550985599998,-0.758514977825,-0.158306647295,0.0310344778734,-0.6826153328319999,-0.383399071923,1,0,0.7961144595628044,0.7835315435804957,0.24875455241458191
1021,"['PRIVATE:BBH:1101', 'SXS:BBH:1034']",1.352437360845494,"[-0.544875336354, 0.303520686793, -0.0592405835738]","[-0.250789779313, -0.547692859551, -0.135863995257]",0.953225605974,,,,-0.544875336354,0.303520686793,-0.0592405835738,-0.250789779313,-0.547692859551,-0.135863995257,1,0,0.6265168682648085,0.6175127585873905,0.24438864489317683
1022,"['PRIVATE:BBH:1102', 'SXS:BBH:1035']",1.049464671254383,"[-0.147269469787, 0.693687139288, -0.24444253366399998]","[0.595510128093, 0.117485975769, -0.416050096449]",0.957708722503,,,,-0.147269469787,0.693687139288,-0.24444253366399998,0.595510128093,0.117485975769,-0.416050096449,1,0,0.7500948581406147,0.7358892239453961,0.24985437048936074
1023,"['PRIVATE:BBH:1103', 'SXS:BBH:1036']",1.2055831364876761,"[-0.502113828468, 0.182820196855, 0.45523173135399997]","[0.103890054089, 0.5212792655599999, 0.518688130911]",0.9336092161539999,,,,-0.502113828468,0.182820196855,0.45523173135399997,0.103890054089,0.5212792655599999,0.518688130911,1,0,0.7019810897370766,0.7426726016148265,0.24782795850037848
1024,"['PRIVATE:BBH:1104', 'SXS:BBH:1037']",1.316068233420323,"[-0.453263875719, -0.41497447168199997, -0.389650244814]","[-0.501904724693, 0.300880043991, 0.401837121268]",0.9528435812939999,,,,-0.453263875719,-0.41497447168199997,-0.389650244814,-0.501904724693,0.300880043991,0.401837121268,1,0,0.7276532597763679,0.7098663434549742,0.24534414971101676
1025,"['PRIVATE:BBH:1105', 'SXS:BBH:1038']",1.363362257351846,"[0.634235997702, 0.124340579602, 0.351745963826]","[-0.461890957589, -0.181521478604, 0.455635514006]",0.938040251129,,,,0.634235997702,0.124340579602,0.351745963826,-0.461890957589,-0.181521478604,0.455635514006,1,0,0.7358268162989811,0.6737188030035808,0.24409038692020965
1026,"['PRIVATE:BBH:1106', 'SXS:BBH:1039']",1.294501312870341,"[0.319017777242, -0.145666947763, 0.711514876519]","[-0.617693589203, 0.09351766260910001, -0.421214478134]",0.941931627291,,,,0.319017777242,-0.145666947763,0.711514876519,-0.617693589203,0.09351766260910001,-0.421214478134,1,0,0.7932494067913715,0.7534670264530837,0.24588151149668713
1027,"['PRIVATE:BBH:1107', 'SXS:BBH:1040']",1.446341629375453,"[-0.515085855946, 0.0529616071789, -0.283623804246]","[0.42407486891199997, 0.398953315519, -0.497757159622]",0.9614151875529999,,,,-0.515085855946,0.0529616071789,-0.283623804246,0.42407486891199997,0.398953315519,-0.497757159622,1,0,0.5903904074132378,0.7660061568690515,0.24167775329041116
1028,"['PRIVATE:BBH:1108', 'SXS:BBH:1041']",1.256147235812495,"[-0.614070045594, 0.20203695130399998, 0.392813574293]","[-0.347830366957, -0.19421025648999998, -0.524151553234]",0.9485904906729999,,,,-0.614070045594,0.20203695130399998,0.392813574293,-0.347830366957,-0.19421025648999998,-0.524151553234,1,0,0.7564413095124264,0.6583604169913069,0.24677756267399628
